Latitude,Longitude
2806.6078N,8243.0175W
2806.6079N,8243.0176W
2806.608N,8243.0177W
2806.608N,8243.0177W
2806.6079N,8243.0179W
2806.6078N,8243.0181W
2806.6077N,8243.0183W
2806.6077N,8243.0184W
2806.6076N,8243.0185W
2806.6077N,082t3.0188W
2806.6078N,8243.0189W
2806.6079N,8243.019W
2806.6079N,8243.0191W
2806.608N,8243.0191W
2806.608N,8243.0192W
2806.608N,8243.0193W
2806.6081N,8243.0193W
2806.6081N,8243.0194W
2806.6081N,8243.0195W
2806.6081N,8243.0196W
2806.6082N,8243.0197W
2806.6083N,8243.0197W
2806.6083N,8243.0198W
2806.6084N,8243.0199W
2806.6079N,8243.0193W
2806.6075N,8243.0189W
2806.6072N,8243.0185W
2806.607N,8243.0182W
2806.6071N,8243.0182W
2806.6072N,8243.0182W
2806.6073N,8243.0183W
2806.6074N,8243.0183W
2806.6076N,8243.0184W
2806.6077N,8243.0184W
2806.6078N,8243.0185W
2806.608N,8243.0186W
2806.6081N,8243.0186W
2806.6082N,8243.0186W
2806.6084N,8243.0187W
2806.6085N,8243.0187W
2806.6087N,8243.0188W
2806.6088N,8243.0188W
2806.6089N,8243.0189W
2806.6088N,8243.0191W
2806.6088N,8243.0193W
2806.6087N,8243.0196W
2806.6087N,8243.0198W
2806.6087N,8243.02W
2806.6087N,8243.0202W
2806.6087N,8243.0204W
2806.6088N,8243.0206W
2806.6088N,8243.0207W
2806.609N,8243.0209W
2806.6091N,8243.021W
2806.6092N,8243.0211W
2806.6093N,8243.0211W
2806.6095N,8243.0211W
2806.6097N,8243.0212W
2806.6099N,8243.0212W
2806.61N,8243.0212W
2806.6102N,8243.0212W
2806.6104N,8243.0212W
2806.6106N,8243.0212W
2806.6107N,8243.0213W
2806.6109N,8243.0213W
2806.611N,8243.0213W
2806.6111N,8243.0213W
2806.6112N,8243.0214W
2806.6113N,8243.0214W
2806.6111N,8243.0217W
2806.6109N,8243.022W
2806.6107N,8243.0223W
2806.6105N,8243.0225W
2806.6104N,8243.0228W
2806.6102N,8243.023W
2806.6101N,8243.0232W
2806.6099N,8243.0234W
2806.6098N,8243.0236W
2806.6097N,8243.0238W
2806.6097N,8243.024W
2806.6096N,8243.0242W
2806.6095N,8243.0244W
2806.6094N,8243.0245W
2806.6093N,8243.0247W
2806.6092N,8243.0248W
2806.6091N,8243.0249W
2806.609N,8243.0251W
2806.6089N,8243.0252W
2806.6088N,8243.0254W
2806.6088N,8243.0256W
2806.6088N,8243.0258W
2806.6088N,8243.0261W
2806.6088N,8243.0262W
2806.6088N,8243.0264W
2806.6088N,8243.0265W
2806.609N,8243.0267W
