latitude,longitude
2806.7106N,8242.8308W
2806.7107N,8242.8306W
2806.7108N,8242.8304W
2806.7109N,8242.8302W
2806.711N,8242.8301W
2806.7111N,8242.8299W
2806.7113N,8242.8297W
2806.7114N,8242.8295W
2806.7115N,8242.8294W
2806.7116N,8242.8292W
2806.7118N,8242.829W
2806.7119N,8242.8288W
2806.712N,8242.8287W
2806.7122N,8242.8286W
2806.7123N,8242.8284W
2806.7125N,8242.8283W
2806.7126N,8242.8282W
2806.7127N,8242.828W
2806.7129N,8242.8279W
2806.713N,8242.8277W
2806.7131N,8242.8276W
2806.7132N,8242.8274W
2806.7133N,8242.8273W
2806.7135N,8242.8273W
2806.7136N,8242.8273W
2806.7137N,8242.8273W
2806.7138N,8242.8272W
2806.7138N,8242.8272W
2806.7139N,8242.8273W
2806.7139N,8242.8274W
2806.714N,8242.8275W
2806.7141N,8242.8275W
2806.7141N,8242.8275W
2806.7142N,8242.8275W
2806.7143N,8242.8274W
2806.7144N,8242.8274W
2806.7145N,8242.8274W
2806.7146N,8242.8273W
2806.7147N,8242.8272W
2806.7148N,8242.8272W
2806.7149N,8242.8271W
2806.715N,8242.827W
2806.7152N,8242.827W
2806.7153N,8242.827W
2806.7154N,8242.827W
2806.7155N,8242.827W
2806.7156N,8242.827W
2806.7157N,8242.8271W
2806.7157N,8242.8271W
2806.7158N,8242.8271W
2806.7159N,8242.8271W
2806.7161N,8242.8272W
2806.7162N,8242.8272W
2806.7163N,8242.8273W
2806.7164N,8242.8273W
2806.7164N,8242.8273W
2806.7165N,8242.8274W
2806.7166N,8242.8275W
2806.7167N,8242.8275W
2806.7168N,8242.8275W
2806.717N,8242.8275W
2806.7172N,8242.8275W
2806.7173N,8242.8276W
2806.7174N,8242.8276W
2806.7175N,8242.8276W
2806.7176N,8242.8276W
2806.7177N,8242.8276W
2806.7178N,8242.8276W
2806.7179N,8242.8276W
2806.718N,8242.8277W
2806.7181N,8242.8278W
2806.7182N,8242.828W
2806.7182N,8242.828W
2806.7183N,8242.8281W
2806.7183N,8242.8281W
2806.7184N,8242.828W
2806.7183N,8242.8279W
2806.7183N,8242.8279W
2806.7183N,8242.8279W
2806.7184N,8242.8279W
2806.7185N,8242.8279W
2806.7186N,8242.828W
2806.7187N,8242.828W
2806.7189N,8242.8281W
2806.719N,8242.8281W
2806.7191N,8242.8281W
2806.7192N,8242.8282W
2806.7194N,8242.8283W
2806.7195N,8242.8283W
2806.7196N,8242.8283W
2806.7198N,8242.8284W
2806.7201N,8242.8285W
2806.7202N,8242.8286W
2806.7204N,8242.8287W
2806.7205N,8242.8288W
2806.7207N,8242.8288W
2806.7208N,8242.8288W
2806.7209N,8242.8288W
2806.721N,8242.8288W
2806.7211N,8242.8288W
2806.7211N,8242.8285W
2806.7211N,8242.8283W
2806.7212N,8242.8281W
2806.7213N,8242.828W
2806.7214N,8242.8279W
2806.7216N,8242.8277W
2806.7216N,8242.8274W
2806.7217N,8242.8271W
2806.7218N,8242.8269W
2806.7219N,8242.8261W
2806.7221N,8242.8257W
2806.7223N,8242.8253W
2806.7224N,8242.825W
2806.7225N,8242.8249W
2806.7225N,8242.8248W
2806.7225N,8242.8246W
2806.7225N,8242.8244W
2806.7225N,8242.8243W
2806.7226N,8242.8242W
2806.7226N,8242.824W
2806.7227N,8242.8239W
2806.7227N,8242.8237W
2806.7227N,8242.8235W
2806.7227N,8242.8233W
2806.7228N,8242.8232W
2806.7227N,8242.8231W
2806.7228N,8242.8229W
2806.7228N,8242.8227W
2806.7228N,8242.8226W
2806.7228N,8242.8225W
2806.7228N,8242.8223W
2806.7228N,8242.8222W
2806.7228N,8242.8221W
2806.7229N,8242.8219W
2806.7229N,8242.8218W
2806.7229N,8242.8216W
2806.723N,8242.8214W
2806.723N,8242.8212W
2806.7231N,8242.8211W
2806.7231N,8242.8209W
2806.7232N,8242.8209W
2806.7233N,8242.8208W
2806.7234N,8242.8207W
2806.7234N,8242.8206W
2806.7234N,8242.8205W
2806.7235N,8242.8203W
2806.7236N,8242.8202W
2806.7236N,8242.8201W
2806.7236N,8242.82W
2806.7237N,8242.8199W
2806.7237N,8242.8198W
2806.7238N,8242.8196W
2806.7238N,8242.8195W
2806.7237N,8242.8194W
2806.7237N,8242.8193W
2806.7237N,8242.8191W
2806.7236N,8242.819W
2806.7236N,8242.8188W
2806.7236N,8242.8187W
2806.7235N,8242.8185W
2806.7234N,8242.8184W
