16356,-3088,-596,23.92,138,62,-1
16492,-3016,-632,23.82,208,5,89
16368,-3032,-664,23.82,109,-38,151
16440,-3044,-644,23.87,172,-48,152
16340,-3100,-720,23.78,192,-40,168
16356,-3096,-788,23.73,219,34,187
16424,-2944,-476,23.82,149,-122,195
16396,-3068,-828,23.78,157,-121,228
16256,-3188,-696,23.82,21,-335,240
16384,-3184,-872,23.92,229,5,128
16352,-3232,-816,23.82,187,15,56
16396,-3224,-844,23.92,135,-23,59
16332,-3204,-644,23.82,135,84,70
16444,-2988,-516,23.82,115,-63,70
16356,-3008,-712,23.92,71,-247,158
16516,-3156,-412,23.87,-118,-445,262
16408,-3096,-828,23.82,141,-369,278
16452,-3328,-1140,23.87,25,-653,569
16316,-3360,-828,23.82,190,-209,348
16316,-3280,-1108,23.97,111,-330,323
16332,-3456,-1304,23.78,18,-469,267
16352,-3452,-1176,23.87,0,-371,120
16324,-3232,-1096,23.92,135,-148,84
16084,-3220,-1280,23.82,-121,-178,-44
16296,-2840,-1620,23.82,-10,-543,381
16464,-3140,-1340,23.78,101,-704,489
16456,-3548,-1664,23.92,33,-1042,651
16252,-3232,-1936,23.97,592,-1062,874
16348,-3384,-1796,23.87,949,-692,880
15912,-3780,-1428,23.82,-953,-1405,1167
16148,-4120,-2608,23.82,-863,-1446,671
16060,-4096,-2988,23.92,-685,-2006,515
16196,-3464,-2704,23.87,-761,-2191,446
16128,-3436,-2724,23.82,-1671,-4960,476
17292,-3688,-2356,23.78,-2611,-7029,-8
19848,-5188,-720,23.82,-5097,-9894,1740
20152,-4232,-1968,23.82,-10497,-16027,3227
14504,-4256,-3716,23.87,-6826,279,-965
13288,-3508,-6728,23.78,5398,18211,-4053
18612,-3160,-6580,23.82,3298,27084,-1192
20100,-3460,-4236,23.82,9379,26744,1939
16504,-1864,-3620,23.78,9502,16264,-605
14380,-3812,-5580,23.78,5446,-6229,3371
21148,6624,12208,23.78,9095,-3138,1517
16556,-4832,984,23.78,1708,-10338,4907
15964,-3272,3024,23.78,784,-7026,3154
16352,-2708,3832,23.82,-5301,-7718,1807
17308,-3368,-588,23.82,-2254,-5604,1637
16144,-3772,40,23.92,-807,-5080,1428
18124,-3588,1856,23.82,-2770,-7917,1333
17788,-5452,-64,23.82,-2181,-12246,1511
23968,-5004,4628,23.73,-6204,-16624,4387
17168,-7296,-3400,23.82,-10792,-11508,2921
6748,-5580,-4804,23.78,1713,14702,162
13216,-2308,-4880,23.87,6718,32244,-4442
23196,-6316,-4284,23.78,6507,32767,-3459
15180,-2928,-6776,23.73,2210,17821,-1815
28276,12036,27472,23.73,30055,-7212,5535
14304,-2136,2516,23.78,249,-14172,6740
15496,-9768,-2860,23.73,-1091,-10309,3512
16340,-5552,-2456,23.68,-2875,-5877,1244
15524,-5644,-3180,23.68,-210,-3269,736
16292,-2620,2692,23.78,1219,-2735,1752
19412,-6032,-700,23.87,5747,-7515,2522
22792,-6536,2692,23.78,-5715,-13530,4344
22692,-952,3408,23.78,-11153,-27725,3162
17360,-3056,-192,23.87,-6910,-1547,-2869
11092,-3400,-6068,23.73,7867,25774,-5867
18628,-5324,-6960,23.73,6573,32767,-5512
22716,-4272,-6736,23.78,10524,29339,-6365
13100,-4408,-6904,23.78,4624,-7715,5201
21908,-1116,2576,23.68,5353,-11838,8762
18572,1212,-1732,23.68,-2933,-12591,4433
17092,-3412,464,23.73,-2474,-6494,1814
16436,-2936,-696,23.68,-1355,-4460,94
16600,-2052,-1584,23.78,-563,-3686,-223
17688,-1624,1956,23.68,-781,-8163,-222
18052,-3024,1028,23.68,-2698,-16212,194
25480,-3224,2944,23.68,-2281,-24030,-1928
892,-12248,-28432,23.82,12107,-9723,-9042
7756,-7456,-6568,23.78,16864,15303,-15735
15316,-11224,-7652,23.78,13384,27932,-13424
21324,-11020,-6504,23.82,17592,32767,-1253
17572,-8284,-9244,23.78,17121,18237,3139
14328,-4840,-10312,23.73,11759,-12171,9437
23500,7812,2080,23.78,-667,-11471,7224
18524,1960,60,23.68,4620,-9956,5150
16892,-1676,1820,23.78,-255,-6641,2506
16352,-2980,-1280,23.68,-930,-4467,1870
16560,-3360,-1436,23.78,-435,-3304,1316
15844,-2576,1392,23.68,-2094,-8823,1933
18184,-3884,-1248,23.78,-4117,-12519,1565
22548,-1548,2236,23.82,-3271,-18781,2724
16032,-3072,-5460,23.68,-13117,-10862,563
7324,-5072,-4928,23.78,10074,12202,-1598
12928,-5084,-5580,23.82,10377,30708,-7430
23484,-9592,-7796,23.73,13206,32767,-1885
14836,-5056,-7836,23.78,10601,17614,815
26220,-13960,5380,23.78,25738,-13606,6521
14992,-8700,-1052,23.73,-2770,-11984,7894
15700,-7496,-372,23.73,-2595,-7896,3010
16312,-3408,-144,23.73,-4649,-5521,685
16728,-3132,-452,23.73,-700,-4570,574
15720,-2008,2492,23.82,-372,-9007,1376
17144,-3084,-864,23.78,926,-14514,1302
24516,-1432,1008,23.78,-155,-19863,2887
21096,-15276,-1524,23.78,-3717,-22357,-5678
7036,-7368,100,23.68,6486,6439,-15683
12584,-8968,-3836,23.78,13372,24310,-16336
22412,-9048,-3004,23.73,12602,32767,-8450
21136,-9512,-8260,23.73,4596,26443,-1810
15064,-6724,-11824,23.73,4793,-11732,8485
24004,4812,1800,23.68,5305,-12941,10084
18692,-1612,-2688,23.68,-5192,-10186,5820
16420,-3968,116,23.73,-4588,-3676,2536
15660,-3488,-68,23.68,-4154,-3625,2332
