Time,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
17900,16988,-2536,2432,-2815,4683,-977,11520,-513,16640
18000,13660,-1472,2684,-617,2569,233,10752,0,17920
18100,14876,-2208,1636,528,860,573,10496,256,17152
18200,15616,-2732,2152,2202,-1207,314,10496,256,18688
18300,16848,-1840,1116,6242,-2051,654,10752,2048,18432
18400,17408,48,2548,9083,-7,577,9728,2048,19456
18500,14464,244,3428,13049,941,-374,9984,-513,24320
18600,15104,944,4140,14499,-618,942,7424,1792,27392
18700,15564,496,3172,14166,275,815,3584,1536,27648
18800,15464,624,2452,13942,-870,417,1280,1792,32512
18900,16484,752,3036,12284,642,1866,-2305,1024,-32768
19000,17288,-96,2408,10617,-615,1927,-3585,2304,-32000
19100,15512,-192,1864,7008,551,934,-5889,1536,-31232
19200,15648,-864,1288,4273,544,560,-6913,2560,-31232
19300,16124,-1732,1224,2599,2037,454,-8449,2048,-31744
19400,16208,-968,960,1718,369,163,-8705,2816,-32000
19500,13896,-1560,300,2270,514,398,-8705,1280,-30976
19600,15832,-1624,1596,1233,433,-400,-10497,4608,-30720
19700,16360,-684,948,127,-1241,-1525,-8705,2304,-31488
19800,21708,-2024,3204,-2071,1222,890,-9729,2304,-29440
19900,14868,-940,4048,2474,-1190,-475,-10497,1536,-30208
20000,14804,-1008,3356,1633,1229,382,-11777,1280,-30464
20100,13528,-340,2356,977,-578,-1401,-11265,1280,-29952
20200,14576,-120,904,-1429,902,-1299,-12289,1280,-29440
20300,15052,220,1588,-793,-1365,-479,-10753,2304,-29440
20400,20244,-804,1320,-1761,-1545,1441,-12033,-769,-29696
20500,20448,-2380,2748,-2527,426,-432,-10753,-513,-30464
20600,11920,-1304,4112,469,-2215,-1654,-11265,-1,-30976
20700,16260,-2264,3084,-4264,2850,3102,-8961,-769,-29696
20800,12916,-2804,2100,1178,-30,-1173,-8705,-1,-30464
20900,14812,-3012,2004,2122,103,-831,-10497,-257,-29184
21000,15828,-1964,580,1027,-3203,-187,-10497,-1281,-30720
21100,22296,-2468,3096,39,-1813,1571,-12033,-1793,-30208
21200,13668,1304,2956,3508,654,601,-11265,-2049,-30976
21300,15824,-1040,2540,3007,3596,386,-12545,-1793,-29184
21400,13744,-388,1716,2279,-246,-1137,-11521,-1281,-30720
21500,15016,368,696,-55,1446,-115,-13313,-1025,-30464
21600,16176,-260,2144,1361,-1762,-480,-13569,-2305,-30208
21700,21516,-468,2220,-426,694,2207,-13569,-2817,-31744
21800,13572,-1092,2420,-1272,-760,-1535,-12801,-1025,-31488
21900,16356,-1552,2648,-3755,3788,126,-12801,-1,-31488
22000,12692,-1684,1052,57,1677,-1548,-11521,0,-32768
22100,13988,-1488,236,-626,-454,120,-12801,-1537,-31488
22200,16604,-1452,544,-126,-2318,-315,-10241,-1025,-30976
22300,21892,260,-504,-535,-1139,-363,-9985,-1793,-32256
22400,17288,-140,3496,1494,-911,-1785,-10241,-1537,-32512
22500,14576,-876,4252,4196,1389,1276,-12545,-1281,-30720
22600,12684,-660,2072,1956,-1411,295,-11777,-1025,-30976
22700,12988,44,-396,-1617,-1080,-181,-11777,-1025,-31488
22800,16224,304,1328,-1014,-2616,-383,-12289,-3585,-32512
22900,21284,536,304,-1907,315,2183,-10753,-2049,-32000
23000,16148,-1860,2404,-2465,-369,-2710,-9985,-2305,-30208
23100,16528,-2008,3488,-4739,5440,-784,-8449,-769,-30720
23200,11956,-2164,1940,249,1112,-1226,-8705,-1,-30464
23300,14316,-1988,1944,289,1459,173,-9985,-257,-30208
23400,15096,-1776,900,2864,-822,112,-8961,512,-29184
23500,15084,-2648,-464,4248,-1654,-403,-11521,-769,-31744
23600,16040,-3540,-1644,6338,-6240,424,-13825,-2049,-32000
23700,22096,232,4248,3528,-2288,-630,-12801,-2049,32000
23800,14692,924,5996,4721,5956,-52,-15617,-1793,32256
23900,14360,648,3236,6376,-1078,-1622,-16385,-1025,32512
24000,15412,-772,2904,3752,494,2438,-18433,-1537,32000
24100,15352,-16,2012,6292,-1282,1271,-18689,-3329,29696
24200,16160,1336,1492,8285,-1600,480,-20225,-2817,28672
24300,16908,-2648,2176,9949,2281,2027,-20737,-1793,28160
24400,15536,-3260,3240,12105,1064,1410,-23041,-3585,25344
24500,13108,-1100,1872,10950,728,-990,-25857,-2817,23552
24600,18736,5500,2788,15918,-512,2769,-27137,-2049,19200
24700,17020,620,996,13667,-2421,-459,-28161,-3073,17152
24800,14600,380,636,10398,-5635,2032,-28417,-3329,15360
24900,16520,1344,772,6662,-1976,1276,-28161,-3073,12032
25000,15084,1312,-368,3182,1423,-112,-26881,-4353,11264
25100,15644,968,-360,1234,1041,-153,-26881,-4353,12288
25200,17440,-380,1260,-1110,660,-2356,-26881,-4353,11776
25300,18728,880,1856,-6388,2698,-232,-26369,-4353,12800
25400,14444,-1848,4108,-3598,-1220,-1431,-26369,-3841,14336
25500,15568,-664,1976,-1274,874,467,-26625,-4097,14592
25600,13416,276,4416,2419,-2245,-377,-26369,-3841,15872
25700,14268,-1540,-60,3619,-1212,1418,-27393,-3841,14336
25800,16232,-2280,416,3536,-391,148,-27137,-4097,14080
25900,18784,-832,-2120,2009,-3981,-1781,-26881,-4865,13312
26000,20792,-2384,2452,-573,-5990,-2505,-27137,-5121,13056
26100,15532,1228,3696,2001,2823,2331,-29185,-3073,12544
26200,12256,-3944,1284,4116,1075,1088,-27905,-4865,11776
26300,14604,-996,144,-148,-1843,-1894,-27393,-4353,11264
26400,14516,328,-1444,-2726,338,-1045,-27393,-3841,11264
26500,18404,-296,-1308,-1209,751,966,-29185,-4609,11008
26600,23808,-4156,2104,215,-2822,3631,-28417,-5889,12288
26700,11216,-572,876,-3116,-2264,-1338,-28417,-5889,11776
26800,17848,-1672,2948,-1677,5113,-234,-28929,-5889,12288
26900,13488,-2496,2024,3242,3168,-1409,-28417,-4865,12800
27000,15220,-1808,1756,5586,216,506,-29441,-3841,12800
27100,15296,-2296,1664,8065,-1610,-585,-29953,-4865,9728
27200,14744,-572,248,8172,-2793,-1571,-28929,-4353,6656
27300,19588,-980,996,5517,2458,1915,-29953,-4865,6144
27400,15380,-348,1760,11801,-492,428,-28417,-4865,3584
27500,15120,360,1940,12739,2435,1649,-26369,-4353,1536
27600,16740,1144,2584,15982,-44,546,-23041,-4097,-1537
27700,15264,660,1384,16607,-2300,1096,-20993,-4097,-5633
27800,15676,164,1500,14945,-698,2455,-14849,-5633,-7169
27900,15732,-536,792,9164,-1053,2542,-11521,-4865,-7937
28000,16552,-3848,464,5074,1173,3104,-7681,-5633,-6145
28100,15532,-3440,904,3396,-181,-843,-8193,-5121,-7169
28200,16544,-4468,596,1897,766,-2579,-7937,-4865,-5889
28300,14960,-3248,-68,3541,-1255,-576,-6657,-4097,-6657
28400,16452,-2912,260,2449,-1335,-369,-6145,-3585,-8193
28500,16176,-1692,220,344,-1098,-1266,-5121,-4097,-7681
28600,15864,-1572,-176,-1082,-833,-186,-5633,-3585,-8193
28700,15600,-1040,-200,162,-1184,65,-6913,-2817,-8449
28800,16324,-1212,-304,-334,-75,-167,-6401,-2817,-8449
28900,16348,-1856,-548,604,-1163,440,-5377,-1793,-8961
29000,16436,-1528,-684,-354,-284,52,-5377,-1793,-8961
29100,15476,-1492,-592,-246,333,-324,-6657,-1025,-9217
29200,16348,-1776,-832,-68,-72,-95,-7681,-2049,-8705
29300,15796,-1484,-1372,419,-501,-392,-7169,-2049,-7681
29400,15836,-2148,-888,-304,623,-374,-5377,-1281,-9473
29500,15696,-2628,-1036,-618,267,-46,-6401,-2305,-9473
29600,15756,-1348,-800,-1177,87,-145,-8193,-513,-9217
